Year,Province,Births,Deaths,Temporary Residents,Permanent Residents,Population,Population_age_0 to 3 years,Population_age_18 to 50 years,Population_age_4 to 17 years,Population_age_50 years and above,Men+,Women+,Full-time educators,Part-time educators,Students,Beds,Physician
2012,Prince Edward Island,1340,1245,6825,1100,144415,5778,61541,22842,54221,70422,73993,1530,237,20406,500,266
2012,Quebec,89227,62083,423484,55020,8059752,354607,3610078,1164285,2929296,4002236,4057516,64782,32835,864489,19892,18990
2012,Saskatchewan,14890,9315,51257,11170,1083005,57729,482170,189351,353412,544016,538989,10419,2148,168669,4048,1965
2012,Yukon,404,210,1820,280,36151,1693,17677,5641,11137,18425,17726,516,363,5049,55,67
2013,Alberta,54792,22750,396536,36625,3978532,210180,1958852,669259,1139697,2017655,1960877,31464,6669,608166,11146,9024
2013,British Columbia,43864,33158,660030,36220,4634943,177764,2111868,665145,1679065,2299558,2335385,27537,8250,546819,13864,10372
2013,Canada,382877,253122,2892832,259040,35080992,1535047,15963495,5416638,12158861,17397429,17683563,299886,77607,4721496,95420,77674
2013,Manitoba,16337,10302,52533,13105,1263393,64579,563058,224298,411113,627759,635634,11679,1980,179109,4201,2596
2013,New Brunswick,7045,6634,26153,2020,758261,28699,322464,107907,298961,374835,383426,6597,303,99921,2845,1715
2013,Newfoundland and Labrador,4601,4821,18911,835,526960,18850,226365,74271,207390,260379,266581,5211,237,67293,2383,1271
2013,Northwest Territories,656,211,1511,150,43774,2588,22890,8299,9994,22425,21349,672,0,8175,156,43
2013,Nova Scotia,8384,8626,55678,2525,939808,34988,402639,131781,370127,460368,479440,8913,0,121026,3180,2461
2013,Nunavut,918,173,329,10,35330,3417,17399,9717,4795,18267,17063,570,0,9729,0,11
2013,Ontario,140712,94340,1187795,103570,13511902,572752,6182000,2140702,4614004,6644391,6867511,128874,25902,2015385,31510,28422
2013,Prince Edward Island,1398,1269,7450,1000,143942,5672,60270,22502,55452,70018,73924,1485,207,20133,478,276
2013,Quebec,88590,61204,421618,51980,8108825,355251,3589853,1165807,2996400,4030207,4078618,65790,32319,869889,19832,19362
2013,Saskatchewan,15159,9434,62570,10675,1098868,58619,488217,191344,360326,552988,545880,10560,1362,170715,3182,2054
2013,Yukon,421,200,1718,315,36454,1688,17620,5606,11537,18579,17875,528,378,5139,55,67
2014,Alberta,56333,24164,439979,42510,4081271,214068,2000765,686668,1179152,2070200,2011071,32631,6768,625680,11053,9523
2014,British Columbia,44481,34843,706960,35165,4712691,178278,2130420,666411,1736323,2335946,2376745,27561,8121,543105,13697,10692
2014,Canada,383839,266313,3052488,260270,35434066,1536929,15958953,5435378,12495196,17576632,17857434,305319,75705,4733253,94608,79905
2014,Manitoba,16704,10912,57642,16220,1277425,65380,565936,226204,419502,635081,642344,11445,1818,179736,4226,2593
2014,New Brunswick,6693,7401,27288,2835,758657,28252,316180,107191,306808,375065,383592,6585,258,98904,2825,1727
2014,Newfoundland and Labrador,4473,5263,20146,900,527970,18504,223240,74094,212043,261226,266744,5220,270,67167,2404,1304
2014,Northwest Territories,667,196,1560,165,43851,2502,22742,8168,10436,22461,21390,663,0,8316,156,44
2014,Nova Scotia,8525,9352,56206,2670,937768,34255,394148,130615,378467,458748,479020,9150,0,119382,3163,2458
2014,Nunavut,911,167,308,25,35966,3423,17624,9970,4949,18537,17429,771,9,9888,0,12
2014,Ontario,140465,97655,1236063,95770,13617763,570595,6162444,2135540,4746517,6698815,6918948,132021,25539,2003238,31204,29368
2014,Prince Edward Island,1375,1362,8016,1630,144095,5646,59215,22363,56832,70126,73969,1434,252,19938,500,262
2014,Quebec,87376,65364,430501,50230,8147535,354957,3557519,1168195,3065231,4051351,4096184,66531,30813,879048,19524,19706
2014,Saskatchewan,15421,9424,66276,11820,1111989,59338,491001,194253,367008,560212,551777,10782,1431,173664,3129,2144
2014,Yukon,415,210,1543,305,37085,1731,17719,5706,11928,18864,18221,522,423,5184,67,72
2015,Alberta,56935,24012,384821,47185,4150147,217555,2016866,702842,1212268,2101248,2048899,33450,6729,640872,11171,10019
2015,British Columbia,44702,35588,709541,35730,4765472,180698,2121219,669782,1792480,2359113,2406359,27717,8220,545253,13737,10917
2015,Canada,384300,262278,3024324,271820,35704498,1541478,15879578,5469665,12805868,17710573,17993925,306411,75285,4753014,93545,82198
2015,Manitoba,16747,10425,62520,14900,1293598,66531,570618,229033,427037,644162,649436,11640,1884,181023,4237,2659
2015,New Brunswick,6647,6977,26745,2580,759226,27681,310198,107229,313904,375359,383867,6756,267,97911,2833,1674
2015,Newfoundland and Labrador,4435,5018,21038,1120,528348,18177,220090,73826,216155,261756,266592,5148,285,66654,2341,1282
2015,Northwest Territories,710,233,1378,210,44247,2582,22619,8139,10904,22640,21607,852,120,8298,156,37
2015,Nova Scotia,8361,8954,58333,3405,937419,33871,386897,130237,386156,458152,479267,9027,0,118152,3141,2465
